[10:35:54] Message: Pi5 LoRa Message #1       | Signal: -256 dBm
[10:38:56] Message: Pi5 LoRa Message #35      | Signal: -71 dBm
[10:39:01] Message: Pi5 LoRa Message #36      | Signal: -42 dBm
[10:39:06] Message: Pi5 LoRa Message #37      | Signal: -45 dBm
[10:39:12] Message: Pi5 LoRa Message #38      | Signal: -38 dBm
[10:39:17] Message: Pi5 LoRa Message #39      | Signal: -36 dBm
[10:39:23] Message: Pi5 LoRa Message #40      | Signal: -38 dBm
[10:39:28] Message: Pi5 LoRa Message #41      | Signal: -36 dBm
[10:39:33] Message: Pi5 LoRa Message #42      | Signal: -47 dBm
[10:39:39] Message: Pi5 LoRa Message #43      | Signal: -37 dBm
[10:39:44] Message: Pi5 LoRa Message #44      | Signal: -32 dBm
[10:39:49] Message: Pi5 LoRa Message #45      | Signal: -38 dBm
[10:39:55] Message: Pi5 LoRa Message #46      | Signal: -52 dBm
[10:40:00] Message: Pi5 LoRa Message #47      | Signal: -42 dBm
[10:40:05] Message: Pi5 LoRa Message #48      | Signal: -45 dBm
[10:40:11] Message: Pi5 LoRa Message #49      | Signal: -59 dBm
[10:40:16] Message: Pi5 LoRa Message #50      | Signal: -56 dBm
[10:40:21] Message: Pi5 LoRa Message #51      | Signal: -53 dBm
[10:40:32] Message: Pi5 LoRa Message #53      | Signal: -54 dBm
[10:40:38] Message: Pi5 LoRa Message #54      | Signal: -57 dBm
[10:40:43] Message: Pi5 LoRa Message #55      | Signal: -53 dBm
[10:40:48] Message: Pi5 LoRa Message #56      | Signal: -52 dBm
[10:40:54] Message: Pi5 LoRa Message #57      | Signal: -59 dBm
[10:40:59] Message: Pi5 LoRa Message #58      | Signal: -55 dBm
[10:41:04] Message: Pi5 LoRa Message #59      | Signal: -61 dBm
[10:41:10] Message: Pi5 LoRa Message #60      | Signal: -52 dBm
[10:41:20] Message: Pi5 LoRa Message #62      | Signal: -46 dBm
[10:41:26] Message: Pi5 LoRa Message #63      | Signal: -54 dBm
[10:41:31] Message: Pi5 LoRa Message #64      | Signal: -53 dBm
[10:41:58] Message: Pi5 LoRa Message #69      | Signal: -52 dBm
[10:42:03] Message: Pi5 LoRa Message #70      | Signal: -59 dBm
[10:42:09] Message: Pi5 LoRa Message #71      | Signal: -58 dBm
[10:42:14] Message: Pi5 LoRa Message #72      | Signal: -57 dBm
[10:42:19] Message: Pi5 LoRa Message #73      | Signal: -63 dBm
[10:42:30] Message: Pi5 LoRa Message #75      | Signal: -64 dBm
[10:42:35] Message: Pi5 LoRa Message #76      | Signal: -64 dBm
[10:42:41] Message: Pi5 LoRa Message #77      | Signal: -63 dBm
[10:42:46] Message: Pi5 LoRa Message #78      | Signal: -57 dBm
[10:43:02] Message: Pi5 LoRa Message #81      | Signal: -59 dBm
[10:43:08] Message: Pi5 LoRa Message #82      | Signal: -60 dBm
[10:43:13] Message: Pi5 LoRa Message #83      | Signal: -69 dBm
[10:43:18] Message: Pi5 LoRa Message #84      | Signal: -68 dBm
[10:43:24] Message: Pi5 LoRa Message #85      | Signal: -71 dBm
[10:43:29] Message: Pi5 LoRa Message #86      | Signal: -61 dBm
[10:43:40] Message: Pi5 LoRa Message #88      | Signal: -60 dBm
[10:43:45] Message: Pi5 LoRa Message #89      | Signal: -58 dBm
[10:43:50] Message: Pi5 LoRa Message #90      | Signal: -68 dBm
[10:43:56] Message: Pi5 LoRa Message #91      | Signal: -71 dBm
[10:44:01] Message: Pi5 LoRa Message #92      | Signal: -60 dBm
[10:44:06] Message: Pi5 LoRa Message #93      | Signal: -63 dBm
[10:44:12] Message: Pi5 LoRa Message #94      | Signal: -60 dBm
[10:44:22] Message: Pi5 LoRa Message #96      | Signal: -68 dBm
[10:44:33] Message: Pi5 LoRa Message #98      | Signal: -67 dBm
[10:44:44] Message: Pi5 LoRa Message #100     | Signal: -55 dBm
[10:45:00] Message: Pi5 LoRa Message #103     | Signal: -58 dBm
[10:45:05] Message: Pi5 LoRa Message #104     | Signal: -61 dBm
[10:45:32] Message: Pi5 LoRa Message #109     | Signal: -64 dBm
[10:45:38] Message: Pi5 LoRa Message #110     | Signal: -63 dBm
[10:45:48] Message: Pi5 LoRa Message #112     | Signal: -63 dBm
[10:45:54] Message: Pi5 LoRa Message #113     | Signal: -64 dBm
[10:45:59] Message: Pi5 LoRa Message #114     | Signal: -64 dBm
[10:46:04] Message: Pi5 LoRa Message #115     | Signal: -61 dBm
[10:46:15] Message: Pi5 LoRa Message #117     | Signal: -64 dBm
[10:46:20] Message: Pi5 LoRa Message #118     | Signal: -65 dBm
[10:46:26] Message: Pi5 LoRa Message #119     | Signal: -63 dBm
[10:46:31] Message: Pi5 LoRa Message #120     | Signal: -63 dBm
[10:46:37] Message: Pi5 LoRa Message #121     | Signal: -57 dBm
[10:46:42] Message: Pi5 LoRa Message #122     | Signal: -62 dBm
[10:46:47] Message: Pi5 LoRa Message #123     | Signal: -64 dBm
[10:46:53] Message: Pi5 LoRa Message #124     | Signal: -59 dBm
[10:46:58] Message: Pi5 LoRa Message #125     | Signal: -63 dBm
[10:47:03] Message: Pi5 LoRa Message #126     | Signal: -59 dBm
[10:47:09] Message: Pi5 LoRa Message #127     | Signal: -60 dBm
[10:47:14] Message: Pi5 LoRa Message #128     | Signal: -64 dBm
[10:47:19] Message: Pi5 LoRa Message #129     | Signal: -65 dBm
[10:47:25] Message: Pi5 LoRa Message #130     | Signal: -68 dBm
[10:47:30] Message: Pi5 LoRa Message #131     | Signal: -66 dBm
[10:47:36] Message: Pi5 LoRa Message #132     | Signal: -59 dBm
[10:47:41] Message: Pi5 LoRa Message #133     | Signal: -59 dBm
[10:47:46] Message: Pi5 LoRa Message #134     | Signal: -61 dBm
[10:47:52] Message: Pi5 LoRa Message #135     | Signal: -62 dBm
[10:47:57] Message: Pi5 LoRa Message #136     | Signal: -57 dBm
[10:48:02] Message: Pi5 LoRa Message #137     | Signal: -56 dBm
[10:48:08] Message: Pi5 LoRa Message #138     | Signal: -57 dBm
[10:48:13] Message: Pi5 LoRa Message #139     | Signal: -53 dBm
[10:48:18] Message: Pi5 LoRa Message #140     | Signal: -51 dBm
[10:48:24] Message: Pi5 LoRa Message #141     | Signal: -54 dBm
[10:48:29] Message: Pi5 LoRa Message #142     | Signal: -51 dBm
[10:48:35] Message: Pi5 LoRa Message #143     | Signal: -48 dBm
[10:48:40] Message: Pi5 LoRa Message #144     | Signal: -46 dBm
[10:48:45] Message: Pi5 LoRa Message #145     | Signal: -37 dBm
[10:48:51] Message: Pi5 LoRa Message #146     | Signal: -30 dBm
[10:48:56] Message: Pi5 LoRa Message #147     | Signal: -52 dBm
[10:49:01] Message: Pi5 LoRa Message #148     | Signal: -28 dBm
[10:49:07] Message: Pi5 LoRa Message #149     | Signal: -30 dBm
[10:49:12] Message: Pi5 LoRa Message #150     | Signal: -32 dBm
[10:49:17] Message: Pi5 LoRa Message #151     | Signal: -34 dBm
[10:49:23] Message: Pi5 LoRa Message #152     | Signal: -34 dBm
[10:49:28] Message: Pi5 LoRa Message #153     | Signal: -14 dBm
[10:49:34] Message: Pi5 LoRa Message #154     | Signal: -4 dBm
[10:49:39] Message: Pi5 LoRa Message #155     | Signal: -8 dBm
[10:49:44] Message: Pi5 LoRa Message #156     | Signal: -2 dBm
[10:49:50] Message: Pi5 LoRa Message #157     | Signal: -6 dBm
[10:49:55] Message: Pi5 LoRa Message #158     | Signal: -1 dBm
[10:50:00] Message: Pi5 LoRa Message #159     | Signal: -3 dBm
[10:50:06] Message: Pi5 LoRa Message #160     | Signal: -4 dBm
[10:50:11] Message: Pi5 LoRa Message #161     | Signal: -1 dBm
[10:50:16] Message: Pi5 LoRa Message #162     | Signal: -1 dBm
[10:50:22] Message: Pi5 LoRa Message #163     | Signal: -2 dBm
[10:50:27] Message: Pi5 LoRa Message #164     | Signal: -3 dBm
[10:50:33] Message: Pi5 LoRa Message #165     | Signal: -10 dBm
[10:50:38] Message: Pi5 LoRa Message #166     | Signal: -5 dBm
^C
Stopping script...
